Actual_value,predicted_by_model
7500.0,7289.473997885309
9000.0,9265.097652392695
5000.0,6529.678880314399
5000.0,9271.239703793664
10000.0,10448.563152850807
4500.0,8603.495895586228
12000.0,8705.940621616744
2800.0,3237.5951091812913
12000.0,9752.370497425623
12000.0,13073.807824933028
3344.0,7112.420234226858
23800.0,13903.077230073126
1500.0,448.97568112760746
5000.0,5196.251319258978
11000.0,9029.933578288848
8000.0,10521.09253684591
6000.0,8088.144779785651
7000.0,8520.338632114086
12000.0,12070.351512379937
6400.0,6602.5900176275245
13000.0,13534.53894262592
7000.0,6333.779674411182
8000.0,9705.964793533012
1550.0,3423.6697243963554
5000.0,7257.771358197351
13650.0,15163.856604663037
3574.0,7730.518864697606
10000.0,11914.045199157172
6125.0,4589.307350519781
1500.0,4087.400458500437
20000.0,15753.133609217344
22000.0,16627.832032368988
13000.0,9947.832652953552
27000.0,15096.105131603224
13724.0,17595.418780599695
5600.0,8096.876728512176
6500.0,9274.860363423086
12000.0,9731.822022964707
9200.0,7864.110908939365
5000.0,6537.168846634659
6000.0,5883.908616964323
6822.0,5860.9525107961035
12000.0,10388.659552401874
5000.0,8258.900136042179
24000.0,13337.963940977716
3200.0,3161.286623578826
2558.0,4643.036756768122
5000.0,5654.634337956222
1000.0,1480.2836396706316
7500.0,8371.807332785802
3000.0,6268.432723710212
15000.0,11766.514373344855
15000.0,10885.298604207075
15000.0,17628.720206458864
2457.0,6522.517773345697
10234.0,11788.173624259443
4500.0,8287.825830126822
10000.0,8383.715703050715
5000.0,6964.925783113567
6000.0,5639.126799199454
4000.0,4623.386872225545
8000.0,8909.491324844399
10000.0,8736.212935626038
10000.0,10361.680296619885
4800.0,4492.282368424409
24250.0,18127.652950513602
8400.0,12172.791165072787
4000.0,3755.6182790572047
8000.0,9009.91995477695
22000.0,16456.742535029145
10000.0,9871.167266957516
6887.0,5891.279029490359
5000.0,6322.442446308261
4000.0,4907.969094035921
24962.0,13429.204266142046
10000.0,9410.220529132524
10000.0,9426.558769412735
11200.0,10345.669877044276
7356.0,8262.758419086802
8000.0,6889.362501260441
15000.0,9672.522389794469
5000.0,9144.015859840876
9000.0,7655.270988799308
20000.0,14291.210624166484
24000.0,14119.241736991564
9830.0,9349.531128258393
8000.0,12102.409060988703
6000.0,18433.867473764283
11750.0,13722.929803196661
10000.0,14773.134919304652
15000.0,13613.406486119897
10191.0,4529.9830699435315
10000.0,20782.683238132424
12000.0,9708.999217193148
3500.0,7014.407478370473
6000.0,7793.183446356397
10000.0,10364.564020102112
2500.0,6226.783863131008
28869.0,13964.142357164881
14000.0,12745.779051072524
25000.0,14754.666825472603
4500.0,7441.6053973136695
6000.0,6695.832635324639
8000.0,6505.95832498675
4000.0,4565.239075922764
11000.0,9540.115614867245
8000.0,6965.850556911808
12000.0,8491.187200666773
6000.0,6692.539579616747
12000.0,11729.646466481783
3200.0,3395.013253549054
3212.0,7593.000349225751
12300.0,14818.12381264229
3000.0,4571.076357029175
7500.0,8329.571297294431
6300.0,4863.9625204569
16000.0,17249.522190497275
1050.0,1761.4503618620965
5169.0,7115.274164870212
4992.0,7052.353604830718
23000.0,12467.999539347384
25000.0,22254.476904702773
9600.0,8061.060972147323
5000.0,5642.696682624763
6075.0,19765.8519307034
3600.0,7077.178276088416
1500.0,3154.912395361024
9925.0,12574.827525053093
3838.0,3541.0029129089617
18000.0,16901.568804422976
10000.0,10806.613437309707
1454.0,4303.629668062291
7200.0,10576.179935957563
10000.0,10799.915207937549
6000.0,9429.093974686282
4500.0,14343.271371386727
8875.0,12477.706536765636
8000.0,8316.500900029547
10000.0,13783.848735053336
17400.0,10373.957134790457
2000.0,3434.419288191879
12000.0,12126.516408340482
10000.0,8808.90575944579
6000.0,6714.733784261469
14000.0,9952.723355549935
7500.0,8318.88805408326
3500.0,4884.421726921533
7500.0,9366.496178218471
